trading_date,VCB_close,VCB_log_return,VCB_range_pct,VCB_ohlc_invalid,VCB_zero_volume,VCB_hose_disruption,FPT_close,FPT_log_return,FPT_range_pct,FPT_ohlc_invalid,FPT_zero_volume,FPT_hose_disruption,VIC_close,VIC_log_return,VIC_range_pct,VIC_ohlc_invalid,VIC_zero_volume,VIC_hose_disruption,HPG_close,HPG_log_return,HPG_range_pct,HPG_ohlc_invalid,HPG_zero_volume,HPG_hose_disruption,VNM_close,VNM_log_return,VNM_range_pct,VNM_ohlc_invalid,VNM_zero_volume,VNM_hose_disruption,VNINDEX_close,VNINDEX_log_return,VNINDEX_range_pct,VNINDEX_ohlc_invalid,VNINDEX_zero_volume,VNINDEX_hose_disruption,VN30_close,VN30_log_return,VN30_range_pct,VN30_ohlc_invalid,VN30_zero_volume,VN30_hose_disruption
2012-02-06,5.51,-0.007233304593520007,0.016333938294010864,0,0,0,4.23,0.0,0.021276595744680816,0,0,0,9.84,0.03411183450686295,0.03353658536585367,0,0,0,0.8,0.0382212128201978,0.050000000000000044,0,0,0,12.72,-0.005488057678775249,0.005503144654087933,0,0,0,399.73,-0.005015794013488062,0.018687614139544118,0,0,0,447.47,,0.0,0,0,0
2012-02-07,5.55,0.007233304593520007,0.032432432432432386,0,0,0,4.23,0.0,0.021276595744680816,0,0,0,9.76,-0.008163310639160759,0.043032786885245894,0,0,0,0.8,0.0,0.025000000000000022,0,0,0,12.72,0.0,0.0062893081761006345,0,0,0,401.08,0.003371589462810576,0.016156377779994062,0,0,0,449.31,0.004103576310870771,0.0,0,0,0
2012-02-08,5.78,0.040605754925943094,0.03979238754325267,0,0,0,4.31,0.018735911057469634,0.018561484918793315,0,0,0,9.76,0.0,0.025614754098360656,0,0,0,0.84,0.04879016416943191,0.035714285714285615,0,0,0,12.79,0.005488057678775249,0.011727912431587066,0,0,0,409.53,0.02084925202727117,0.020096207848020946,0,0,0,460.98,0.025641585435184133,0.0,0,0,0
2012-02-09,5.71,-0.012184659016367227,0.03502626970227658,0,0,0,4.35,0.009237940984936355,0.018390804597701167,0,0,0,9.76,0.0,0.008196721311475417,0,0,0,0.86,0.02353049741019414,0.046511627906976785,0,0,0,12.93,0.01088657719301489,0.010827532869296254,0,0,0,411.39,0.00453150899687671,0.013174846252947363,0,0,0,464.73,0.008101933678783091,0.0,0,0,0
2012-02-10,5.57,-0.024823969728726247,0.025134649910233335,0,0,0,4.31,-0.009237940984936355,0.00928074245939676,0,0,0,9.67,-0.009264090959798299,0.016546018614270956,0,0,0,0.82,-0.04762804898925466,0.03658536585365857,0,0,0,12.79,-0.01088657719301489,0.010946051602814744,0,0,0,405.02,-0.015605221076570253,,1,0,0,458.23,-0.014085350317970757,0.0,0,0,0
2012-02-13,5.48,-0.016289952979268385,0.04197080291970794,0,0,0,4.27,-0.009324076875123266,0.018735362997658097,0,0,0,9.26,-0.04332426080711471,0.026997840172786176,0,0,0,0.78,-0.05001042057466129,0.03846153846153849,0,0,0,12.72,-0.005488057678775249,0.005503144654087933,0,0,0,395.54,-0.02368452870942317,0.02396723466653173,0,0,0,446.23,-0.026536727306085695,0.0,0,0,0
2012-02-14,5.71,0.04111392270799463,0.04028021015761813,0,0,0,4.27,0.0,0.01873536299765789,0,0,0,9.59,0.035016840237258595,0.05213764337851929,0,0,0,0.8,0.025317807984289897,0.03750000000000003,0,0,0,12.79,0.005488057678775249,0.016419077404221976,0,0,0,400.26,0.011862416055599567,0.02293509219007647,0,0,0,450.22,0.008901838023692044,0.0,0,0,0
2012-02-15,5.67,-0.00702990592825814,0.022927689594356242,0,0,0,4.27,0.0,0.009367681498829048,0,0,0,9.59,0.0,0.0437956204379562,0,0,0,0.79,-0.012578782206860123,0.037974683544303826,0,0,0,12.86,0.005458103218721977,0.010886469673405817,0,0,0,397.41,-0.007145842585199347,0.015802320022143452,0,0,0,446.08,-0.009238044053912375,0.0,0,0,0
2012-02-16,5.67,0.0,0.03350970017636676,0,0,0,4.31,0.009324076875123266,0.027842227378190077,0,0,0,9.59,0.0,0.0354535974973931,0,0,0,0.78,-0.012739025777429774,0.03846153846153849,0,0,0,12.93,0.005428473974292913,0.010827532869296254,0,0,0,396.51,-0.002267231926454727,0.012055181458222926,0,0,0,443.54,-0.005710318792221614,0.012941335617982615,0,0,0
2012-02-17,5.78,0.019214564944625367,0.019031141868512166,0,0,0,4.35,0.009237940984936355,0.018390804597701167,0,0,0,9.51,-0.008377012338047773,0.044164037854889586,0,0,0,0.79,0.012739025777429774,0.025316455696202552,0,0,0,13.3,0.028213842443942205,0.033082706766917255,0,0,0,403.3,0.016979440441497573,0.01319117282420033,0,0,0,451.22,0.0171670361027223,0.012809715881388302,0,0,0
