stock_code,trading_date,open,high,low,close,volume,missing_ohlc,non_positive_ohlc,high_invalid,low_invalid,ohlc_invalid,zero_volume,missing_volume,hose_disruption,log_close,return,log_return,range_pct,open_close_pct,volatility_5d,volatility_20d,realized_vol_20d,atr_14,atr_14_pct,sma_5,sma_20,ema_5,ema_20,close_vs_sma5,close_vs_sma20,momentum_5d,momentum_20d,traded_value,volume_sma_20,rsi_14,lag_return_1,lag_return_5,vnindex_log_return,vn30_log_return,excess_return_vnindex,excess_return_vn30,target_log_return_1d,target_log_return_5d,target_log_return_20d
HPG,2012-02-07,0.8,0.81,0.79,0.8,563860,0,0,0,0,0,0,0,0,-0.2231435513142097,0.0,0.0,0.025000000000000022,0.0,0.025308282363374478,0.02522966360114857,0.12076354916849379,0.025279829207233488,0.031599786509041855,0.776,0.669,0.7726041171368438,0.7054233975840647,0.030927835051546504,0.19581464872944698,0.14285714285714302,0.25,451088.0,375752.5,76.03377350468726,0.0382212128201978,0.0,0.003371589462810576,0.004103576310870771,-0.003371589462810576,-0.004103576310870771,0.04879016416943191,0.0,0.2231435513142097
HPG,2012-02-08,0.82,0.84,0.81,0.84,584090,0,0,0,0,0,0,0,0,-0.1743533871447778,0.04999999999999982,0.04879016416943191,0.035714285714285615,0.024390243902439046,0.023491679238678908,0.02572962192099314,0.12929154721115915,0.026331269978145375,0.03134674997398259,0.796,0.6795,0.7950694114245627,0.7182402168617728,0.055276381909547645,0.23620309050772614,0.1351351351351351,0.33333333333333326,490635.6,403581.0,80.20351432606795,0.0,0.055569851154810834,0.02084925202727117,0.025641585435184133,0.02794091214216074,0.023148578734247777,0.02353049741019414,-0.06136894637629203,0.1843037179979459
HPG,2012-02-09,0.84,0.87,0.83,0.86,549920,0,0,0,0,0,0,0,0,-0.15082288973458366,0.023809523809523725,0.02353049741019414,0.046511627906976785,0.023809523809523832,0.02208576656091441,0.023317629800009995,0.12739397653564113,0.027307607836849282,0.0317530323684294,0.8140000000000001,0.692,0.8167129409497085,0.731741148589223,0.05651105651105648,0.24277456647398843,0.11688311688311681,0.4098360655737705,472931.2,413785.0,81.89925893654214,0.04879016416943191,0.0397403286495141,0.00453150899687671,0.008101933678783091,0.01899898841331743,0.015428563731411049,-0.04762804898925466,-0.09763846956391595,0.11000089521432849
HPG,2012-02-10,0.85,0.85,0.82,0.82,450870,0,0,0,0,0,0,0,0,-0.19845093872383832,-0.04651162790697683,-0.04762804898925466,0.03658536585365857,-0.03529411764705886,0.038313922738551054,0.025098025093945403,0.1318572690139941,0.028214207277074337,0.03440756985009066,0.8240000000000001,0.7035,0.8178086272998057,0.7401467534854875,-0.004854368932038944,0.1656005685856432,0.06493506493506485,0.38983050847457634,369713.39999999997,412597.5,69.14270448263673,0.02353049741019414,0.0,0.0,-0.014085350317970757,-0.04762804898925466,-0.0335426986712839,-0.05001042057466129,-0.037271394797231516,0.15762894420358314
HPG,2012-02-13,0.81,0.81,0.78,0.78,484800,0,0,0,0,0,0,0,0,-0.2484613592984996,-0.04878048780487798,-0.05001042057466129,0.03846153846153849,-0.03703703703703707,0.043518499986795106,0.02901047769850195,0.14102262782221625,0.029056049614426163,0.03725134565952072,0.82,0.713,0.805205751533204,0.7439423007725839,-0.04878048780487798,0.09396914446002813,-0.025000000000000022,0.3220338983050848,378144.0,427477.0,59.21067283498052,-0.04762804898925466,0.0382212128201978,-0.03928974978599342,-0.026536727306085695,-0.010720670788667869,-0.023473693268575596,0.025317807984289897,0.06213178110700612,0.16507975035944858
HPG,2012-02-14,0.77,0.8,0.77,0.8,357950,0,0,0,0,0,0,0,0,-0.2231435513142097,0.025641025641025772,0.025317807984289897,0.03750000000000003,0.038961038961038995,0.04567447056550844,0.028921572347771395,0.14327725904348076,0.029123474641967153,0.03640434330245894,0.8200000000000001,0.7235,0.8034705010221361,0.7492811292704331,-0.024390243902439046,0.10573600552868001,0.0,0.35593220338983067,286360.0,434848.5,62.139118315293906,-0.05001042057466129,0.0,0.011862416055599567,0.008901838023692044,0.01345539192869033,0.016415969960597854,-0.012578782206860123,0.012422519998557174,0.13976194237515868
HPG,2012-02-15,0.81,0.81,0.78,0.79,251370,0,0,0,0,0,0,0,0,-0.23572233352106983,-0.012499999999999956,-0.012578782206860123,0.037974683544303826,-0.024691358024691377,0.036637225509098856,0.029402841242497695,0.1438283654945029,0.02918608359611236,0.036944409615332095,0.8099999999999999,0.7335,0.7989803340147574,0.7531591169589633,-0.024691358024691246,0.07702794819359227,-0.05952380952380942,0.33898305084745783,198582.30000000002,440300.0,59.826320940673156,0.025317807984289897,0.04879016416943191,-0.007145842585199347,-0.009238044053912375,-0.005432939621660776,-0.0033407381529477476,-0.012739025777429774,0.0732034040232949,0.1523407245820188
HPG,2012-02-16,0.79,0.8,0.77,0.78,277570,0,0,0,0,0,0,0,0,-0.2484613592984996,-0.012658227848101222,-0.012739025777429774,0.03846153846153849,-0.012658227848101276,0.030920539328719757,0.028794922537961384,0.1356061389768029,0.029244220482104337,0.037492590361672226,0.794,0.7415,0.7926535560098383,0.7557153915343001,-0.017632241813602012,0.05192178017532023,-0.09302325581395343,0.25806451612903225,216504.6,430058.0,57.520733499950424,-0.012578782206860123,0.02353049741019414,-0.002267231926454727,-0.005710318792221614,-0.010471793850975047,-0.007028706985208161,0.012739025777429774,0.1319275430425481,0.218002151813791
HPG,2012-02-17,0.8,0.8,0.78,0.79,146360,0,0,0,0,0,0,0,0,-0.23572233352106983,0.012820512820512775,0.012739025777429774,0.025316455696202552,-0.012500000000000011,0.028926603285217057,0.028777197873031273,0.13526010787645917,0.028583919019096887,0.03618217597354036,0.788,0.7495,0.7917690373398922,0.7589805923405573,0.002538071065989911,0.05403602401601071,-0.03658536585365846,0.25396825396825395,115624.40000000001,428773.5,59.21347517999525,-0.012739025777429774,-0.04762804898925466,0.016979440441497573,0.0171670361027223,-0.004240414664067799,-0.004428010325292525,0.04939275532957635,0.16315164068623444,0.1523407245820188
HPG,2012-02-20,0.82,0.83,0.8,0.83,476570,0,0,0,0,0,0,0,0,-0.18632957819149348,0.05063291139240489,0.04939275532957635,0.03614457831325291,0.012195121951219523,0.026416639419098293,0.030007047057433928,0.14313256203464964,0.029399353374875675,0.035420907680573106,0.798,0.759,0.8045126915599282,0.7657443454509804,0.040100250626566414,0.09354413702239772,0.0641025641025641,0.296875,395553.1,442239.0,65.1889858860875,0.012739025777429774,-0.05001042057466129,0.026136961600322195,0.0310281693042862,0.023255793729254154,0.018364586025290147,-0.02439145312415905,0.16612687087397401,0.1137588853566581
