stock_code,trading_date,open,high,low,close,volume,missing_ohlc,non_positive_ohlc,high_invalid,low_invalid,ohlc_invalid,zero_volume,missing_volume,hose_disruption,log_close,return,log_return,range_pct,open_close_pct,volatility_5d,volatility_20d,realized_vol_20d,atr_14,atr_14_pct,sma_5,sma_20,ema_5,ema_20,close_vs_sma5,close_vs_sma20,momentum_5d,momentum_20d,traded_value,volume_sma_20,rsi_14,lag_return_1,lag_return_5,vnindex_log_return,vn30_log_return,excess_return_vnindex,excess_return_vn30,target_log_return_1d,target_log_return_5d,target_log_return_20d
VNM,2012-02-07,12.72,12.72,12.64,12.72,52570,0,0,0,0,0,0,0,0,2.543175557911976,0.0,0.0,0.0062893081761006345,0.0,0.009491469996819416,0.014249312968523921,0.062461071958448175,0.22367496369758313,0.01758450972465276,12.745999999999999,12.27,12.69988424058965,12.54502502925604,-0.0020398556409852997,0.036674816625916984,0.011933174224343812,0.029959514170040613,668690.4,66680.0,55.05641592971366,-0.005488057678775249,0.012004946096823232,0.003371589462810576,0.004103576310870771,-0.003371589462810576,-0.004103576310870771,0.005488057678775249,0.005488057678775249,0.06099451270284195
VNM,2012-02-08,12.72,12.79,12.64,12.79,38740,0,0,0,0,0,0,0,0,2.548663615590751,0.005503144654087855,0.005488057678775249,0.011727912431587066,0.005503144654087933,0.009486041707219372,0.012965917824203635,0.05802480277463243,0.2184124662906128,0.017076815190821958,12.776,12.3065,12.729922827059767,12.568355978850702,0.001095804633688191,0.039288181042538506,0.011867088607594889,0.0605306799336649,495484.6,62926.0,57.17156315766741,0.0,0.005553366116555214,0.02084925202727117,0.025641585435184133,-0.015361194348495921,-0.020153527756408884,0.01088657719301489,0.005458103218721977,0.06654003514510709
VNM,2012-02-09,12.86,12.93,12.79,12.93,88490,0,0,0,0,0,0,0,0,2.559550192783766,0.01094605160281481,0.01088657719301489,0.010827532869296254,0.005443234836702978,0.0071178006076122805,0.008983901825243234,0.045869936200218384,0.21281157584128338,0.016458745231344423,12.79,12.372,12.796615218039847,12.602798266579207,0.01094605160281481,0.045101842870999054,0.005443234836703059,0.11273666092943202,1144175.7,59469.5,61.11330858571429,0.005488057678775249,0.017255330090761856,0.00453150899687671,0.008101933678783091,0.0063550681961381805,0.0027846435142317993,-0.01088657719301489,0.0,0.033463198330085486
VNM,2012-02-10,12.93,12.93,12.79,12.79,58100,0,0,0,0,0,0,0,0,2.548663615590751,-0.010827532869296275,-0.01088657719301489,0.010946051602814744,-0.010827532869296254,0.008620798688782653,0.009494311073714732,0.04536582388771367,0.20761074899547746,0.016232271227167902,12.79,12.423,12.794410145359898,12.620627003095473,0.0,0.02954197858810259,0.0,0.086661002548853,743099.0,58309.0,55.60226881394636,0.01088657719301489,-0.005458103218721977,0.0,-0.014085350317970757,-0.01088657719301489,0.003198773124955867,-0.005488057678775249,0.039100419636957096,0.039100419636957096
VNM,2012-02-13,12.79,12.79,12.72,12.72,44190,0,0,0,0,0,0,0,0,2.543175557911976,-0.005473025801407183,-0.005488057678775249,0.005503144654087933,-0.005473025801407233,0.008620798688782653,0.009722542132009349,0.04531021203827109,0.19778140978151468,0.015548852970244864,12.790000000000001,12.467,12.769606763573266,12.630091098038761,-0.005473025801407405,0.020293575038100586,0.0,0.07432432432432434,562096.8,59105.5,53.027413214536644,-0.01088657719301489,-0.005488057678775249,-0.03928974978599342,-0.026536727306085695,0.03380169210721817,0.021048669627310446,0.005488057678775249,0.055803548135872294,0.049837833201875625
VNM,2012-02-14,12.72,12.93,12.72,12.79,102980,0,0,0,0,0,0,0,0,2.548663615590751,0.005503144654087855,0.005488057678775249,0.016419077404221976,0.005503144654087933,0.008963365743381751,0.009693450254925384,0.04564136382754848,0.19865416622569212,0.015531991104432536,12.803999999999998,12.5145,12.776404509048845,12.645320517273165,-0.001093408309903121,0.02201446322266154,0.005503144654087855,0.0802364864864864,1317114.2,62585.5,55.2586914560855,-0.005488057678775249,0.0,0.011862416055599567,0.008901838023692044,-0.006374358376824318,-0.0034137803449167947,0.005458103218721977,0.044349775523100377,0.044349775523100377
VNM,2012-02-15,12.79,12.86,12.72,12.86,53070,0,0,0,0,0,0,0,0,2.554121718809473,0.005473025801407294,0.005458103218721977,0.010886469673405817,0.005473025801407372,0.008959706924992655,0.009655847130063847,0.045966563747846904,0.1944645829238569,0.015121662746800693,12.818000000000001,12.565499999999998,12.804269672699231,12.66576618229477,0.003276642221875292,0.02343718912896442,0.005473025801407294,0.08614864864864868,682480.2,63495.5,57.43607819205473,0.005488057678775249,0.005488057678775249,-0.007145842585199347,-0.009238044053912375,0.012603945803921324,0.014696147272634352,0.005428473974292913,0.0388916723043784,0.0388916723043784
VNM,2012-02-16,12.79,12.93,12.79,12.93,51650,0,0,0,0,0,0,0,0,2.559550192783766,0.005443234836703059,0.005428473974292913,0.010827532869296254,0.010946051602814744,0.007713856648693855,0.009609773899676146,0.0462859947767621,0.19057425557215288,0.014738921544636727,12.818000000000001,12.620000000000001,12.846179781799488,12.690931307790505,0.00873771259166789,0.02456418383518222,0.0,0.09206081081081074,667834.5,64855.5,59.555748781485875,0.005458103218721977,0.01088657719301489,-0.002267231926454727,-0.005710318792221614,0.00769570590074764,0.011138792766514527,0.028213842443942205,0.039428913264082155,0.04461987783105181
VNM,2012-02-17,12.93,13.37,12.93,13.3,187050,0,0,0,0,0,0,0,0,2.5877640352277083,0.028615622583139988,0.028213842443942205,0.033082706766917255,0.02861562258314006,0.012346549284124776,0.010891707735317857,0.05291724725789739,0.20839038017414194,0.01566844963715353,12.919999999999998,12.686,12.997453187866327,12.748937849905694,0.02941176470588247,0.04839981081507183,0.03987490226739654,0.11018363939899833,2487765.0,71810.5,68.48848305586883,0.005428473974292913,-0.01088657719301489,0.016979440441497573,0.0171670361027223,0.011234402002444632,0.011046806341219906,0.01121507082013995,0.005249355886143281,0.005249355886143281
VNM,2012-02-20,13.3,13.52,13.3,13.45,147320,0,0,0,0,0,0,0,0,2.598979106047848,0.011278195488721776,0.01121507082013995,0.01635687732341999,0.011278195488721696,0.009853546564095378,0.00928153028164707,0.04473019523911644,0.2092196387331317,0.015555363474582284,13.065999999999999,12.741,13.148302125244218,12.8157056737242,0.0293892545538037,0.05564712345969691,0.0573899371069182,0.08906882591093113,1981454.0,74863.5,71.25983156194474,0.028213842443942205,-0.005488057678775249,0.026136961600322195,0.0310281693042862,-0.014921890780182245,-0.019813098484146252,-0.005965714933996669,-0.005965714933996669,-0.005965714933996669
