ds,y,yhat,yhat_lower,yhat_upper
2012-02-07,1.4422019930581866,0.0,-2771.807648699356,2771.807648699356
2012-02-08,1.4609379041156565,1.4422019930581866,1.4113107280011485,1.4730932581152247
2012-02-09,1.4701758451005926,1.4609379041156565,1.4300466390586184,1.4918291691726946
2012-02-10,1.4609379041156565,1.4701758451005926,1.4392845800435545,1.5010671101576307
2012-02-13,1.451613827240533,1.4609379041156565,1.4300466390586184,1.4918291691726946
2012-02-14,1.451613827240533,1.451613827240533,1.420722562183495,1.482505092297571
2012-02-15,1.451613827240533,1.451613827240533,1.420722562183495,1.482505092297571
2012-02-16,1.4609379041156565,1.451613827240533,1.420722562183495,1.482505092297571
2012-02-17,1.4701758451005926,1.4609379041156565,1.4300466390586184,1.4918291691726946
2012-02-20,1.5085119938441398,1.4701758451005926,1.4392845800435545,1.5010671101576307
2012-02-21,1.5085119938441398,1.5085119938441398,1.4776207287871017,1.539403258901178
2012-02-22,1.5173226235262949,1.5085119938441398,1.4776207287871017,1.539403258901178
2012-02-23,1.5173226235262949,1.5173226235262949,1.4864313584692568,1.548213888583333
2012-02-24,1.5173226235262949,1.5173226235262949,1.4864313584692568,1.548213888583333
2012-02-27,1.5260563034950492,1.5173226235262949,1.4864313584692568,1.548213888583333
2012-02-28,1.5173226235262949,1.5260563034950492,1.495165038438011,1.5569475685520873
2012-02-29,1.5260563034950492,1.5173226235262949,1.4864313584692568,1.548213888583333
2012-03-01,1.5260563034950492,1.5260563034950492,1.495165038438011,1.5569475685520873
2012-03-02,1.534714366238164,1.5260563034950492,1.495165038438011,1.5569475685520873
2012-03-05,1.5789787049493915,1.534714366238164,1.5038231011811258,1.565605631295202
2012-03-06,1.545432582458188,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-03-07,1.5706970841176695,1.545432582458188,1.51454131740115,1.5763238475152261
2012-03-08,1.5539252025038417,1.5706970841176695,1.5398058190606314,1.6015883491747076
2012-03-09,1.5539252025038417,1.5539252025038417,1.5230339374468036,1.5848164675608798
2012-03-12,1.5539252025038417,1.5539252025038417,1.5230339374468036,1.5848164675608798
2012-03-13,1.5623463049002495,1.5539252025038417,1.5230339374468036,1.5848164675608798
2012-03-14,1.5623463049002495,1.5623463049002495,1.5314550398432114,1.5932375699572876
2012-03-15,1.5973653311998313,1.5623463049002495,1.5314550398432114,1.5932375699572876
2012-03-16,1.5973653311998313,1.5973653311998313,1.5664740661427932,1.6282565962568694
2012-03-19,1.5973653311998313,1.5973653311998313,1.5664740661427932,1.6282565962568694
2012-03-20,1.589235205116581,1.5973653311998313,1.5664740661427932,1.6282565962568694
2012-03-21,1.589235205116581,1.589235205116581,1.558343940059543,1.620126470173619
2012-03-22,1.5706970841176695,1.589235205116581,1.558343940059543,1.620126470173619
2012-03-23,1.5789787049493915,1.5706970841176695,1.5398058190606314,1.6015883491747076
2012-03-26,1.5789787049493915,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-03-27,1.5706970841176695,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-03-28,1.5789787049493915,1.5706970841176695,1.5398058190606314,1.6015883491747076
2012-03-29,1.5789787049493915,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-03-30,1.5789787049493915,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-04-02,1.5789787049493915,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-04-03,1.5789787049493915,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-04-04,1.5789787049493915,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-04-05,1.6054298910365616,1.5789787049493915,1.5480874398923534,1.6098699700064296
2012-04-06,1.6054298910365616,1.6054298910365616,1.5745386259795235,1.6363211560935997
2012-04-09,1.6134299337036375,1.6054298910365616,1.5745386259795235,1.6363211560935997
2012-04-10,1.6134299337036375,1.6134299337036375,1.5825386686465994,1.6443211987606756
2012-04-11,1.6544112780768316,1.6134299337036375,1.5825386686465994,1.6443211987606756
2012-04-12,1.6620303625532709,1.6544112780768316,1.6235200130197935,1.6853025431338697
2012-04-13,1.62924053973028,1.6620303625532709,1.6311390974962328,1.692921627610309
2012-04-16,1.6467336971777973,1.62924053973028,1.598349274673242,1.6601318047873181
2012-04-17,1.6544112780768316,1.6467336971777973,1.6158424321207592,1.6776249622348354
2012-04-18,1.6467336971777973,1.6544112780768316,1.6235200130197935,1.6853025431338697
2012-04-19,1.6054298910365616,1.6467336971777973,1.6158424321207592,1.6776249622348354
2012-04-20,1.5973653311998313,1.6054298910365616,1.5745386259795235,1.6363211560935997
2012-04-23,1.589235205116581,1.5973653311998313,1.5664740661427932,1.6282565962568694
2012-04-24,1.6134299337036375,1.589235205116581,1.558343940059543,1.620126470173619
2012-04-25,1.6213664832993742,1.6134299337036375,1.5825386686465994,1.6443211987606756
2012-04-26,1.6054298910365616,1.6213664832993742,1.590475218242336,1.6522577483564123
2012-04-27,1.6054298910365616,1.6054298910365616,1.5745386259795235,1.6363211560935997
2012-04-30,1.6054298910365616,1.6054298910365616,1.5745386259795235,1.6363211560935997
2012-05-01,1.6054298910365616,1.6054298910365616,1.5745386259795235,1.6363211560935997
2012-05-02,1.6467336971777973,1.6054298910365616,1.5745386259795235,1.6363211560935997
2012-05-03,1.6937790608678511,1.6467336971777973,1.6158424321207592,1.6776249622348354
2012-05-04,1.7083778602890038,1.6937790608678511,1.662887795810813,1.7246703259248892
2012-05-07,1.724550719534605,1.7083778602890038,1.6774865952319657,1.739269125346042
2012-05-08,1.715598108262491,1.724550719534605,1.693659454477567,1.7554419845916431
