ds,y,yhat,yhat_lower,yhat_upper
2012-02-07,4.23,0.0,-2771.807648699356,2771.807648699356
2012-02-08,4.31,3.1369818405068775,-2083.592720696842,2089.866684377856
2012-02-09,4.35,2.6224624848470572,-2274.793656628797,2280.038581598491
2012-02-10,4.31,4.258050376437339,-1955.7071705932558,1964.2232713461303
2012-02-13,4.27,4.295032897247088,2.0934944578267354,6.496571336667441
2012-02-14,4.27,4.313561918458825,2.4189497365796258,6.2081741003380255
2012-02-15,4.27,4.277759853247725,2.4292982995675754,6.126221406927874
2012-02-16,4.31,4.241443619216889,2.5417839726929037,5.941103265740874
2012-02-17,4.35,4.319561517158569,2.6238493121139213,6.015273722203216
2012-02-20,4.52,4.357093441288892,2.712250594075391,6.001936288502394
2012-02-21,4.52,4.50586061882435,2.8870880615366428,6.124633176112058
2012-02-22,4.56,4.4987968875216,2.8867552262877227,6.110838548755477
2012-02-23,4.56,4.583932213607984,3.000005053589333,6.1678593736266345
2012-02-24,4.56,4.559436127515145,2.976165308515049,6.142706946515241
2012-02-27,4.6,4.541124247915649,2.972384280770404,6.1098642150608935
2012-02-28,4.56,4.612209530797283,3.0509063040448288,6.173512757549736
2012-02-29,4.6,4.5652572097768305,3.0066665806481927,6.123847838905468
2012-03-01,4.6,4.590809528672194,3.0422579554561326,6.139361101888255
2012-03-02,4.64,4.598372880994834,3.049951949169606,6.146793812820062
2012-03-05,4.85,4.650355289305089,3.1080591651184646,6.1926514134917126
2012-03-06,4.69,4.852897612259968,3.313397908813562,6.392397315706374
2012-03-07,4.81,4.666196320757198,3.128101079942735,6.204291561571661
2012-03-08,4.73,4.831894226437399,3.298159950996488,6.36562850187831
2012-03-09,4.73,4.730473331626892,3.196758765066651,6.264187898187133
2012-03-12,4.73,4.713409451206668,3.1826610364684442,6.244157865944892
2012-03-13,4.77,4.738428071749984,3.208843242683042,6.268012900816926
2012-03-14,4.77,4.781470516012426,3.2526802873134595,6.3102607447113925
2012-03-15,4.94,4.755491965034725,3.2287539547646347,6.282229975304816
2012-03-16,4.94,4.946123002044016,3.4193855461087836,6.472860457979248
2012-03-19,4.94,4.946375528944582,3.4211613226435578,6.471589735245606
2012-03-20,4.9,4.9319467735653095,3.407235333222445,6.456658213908174
2012-03-21,4.9,4.89706303675752,3.3728158247343876,6.421310248780652
2012-03-22,4.81,4.90925503280473,3.386007551106072,6.432502514503389
2012-03-23,4.85,4.802947409136526,3.2797013091984235,6.326193509074629
2012-03-26,4.85,4.8488818569136285,3.3264380015859913,6.371325712241266
2012-03-27,4.81,4.855841732165908,3.3336169414688595,6.378066522862957
2012-03-28,4.85,4.806014864102338,3.284063631962573,6.327966096242104
2012-03-29,4.85,4.84949216315271,3.3280346985850002,6.370949627720419
2012-03-30,4.85,4.85312847704659,3.331675322246665,6.374581631846514
2012-04-02,4.85,4.84889510207295,3.327868556026066,6.369921648119833
2012-04-03,4.85,4.847872096551359,3.3269402740115392,6.368803919091178
2012-04-04,4.85,4.852160215498895,3.331389308149462,6.372931122848327
2012-04-05,4.98,4.850659494277101,3.330133297092448,6.371185691461754
2012-04-06,4.98,4.98401608105352,3.4634955788951336,6.504536583211906
2012-04-09,5.02,4.97591843045647,3.455625234250143,6.496211626662797
2012-04-10,5.02,5.021339712538709,3.5010867309741505,6.541592694103268
2012-04-11,5.23,5.0224580353481585,3.5022991116475866,6.542616959048731
2012-04-12,5.27,5.237841702112611,3.71780381225709,6.757879591968132
2012-04-13,5.1,5.263452176126765,3.7434198822585767,6.783484469994953
2012-04-16,5.19,5.089193115820253,3.569281706387053,6.609104525253453
2012-04-17,5.23,5.20791752120568,3.6880227216246215,6.727812320786738
2012-04-18,5.19,5.229767104230835,3.7099268362895064,6.749607372172164
2012-04-19,4.98,5.1725241317279815,3.652743424325803,6.69230483913016
2012-04-20,4.94,4.980326292409136,3.460550303681893,6.500102281136378
2012-04-23,4.9,4.954885590501867,3.435173641442198,6.474597539561536
2012-04-24,5.02,4.888744662084483,3.3690393195750223,6.408450004593944
2012-04-25,5.06,5.019206358840468,3.499532357687287,6.538880359993649
2012-04-26,4.98,5.071049454206997,3.551404559167861,6.5906943492461325
2012-04-27,4.98,4.9708646672341,3.451223392843863,6.4905059416243365
2012-04-30,4.98,4.97628232338402,3.456674808847258,6.495889837920783
2012-05-01,4.98,4.989719274472949,3.4701142558195612,6.509324293126337
2012-05-02,5.19,4.977830023595839,3.4582428623631074,6.497417184828571
2012-05-03,5.44,5.192898793527782,3.673325737965839,6.712471849089725
2012-05-04,5.52,5.450665908611787,3.931095457664008,6.970236359559565
2012-05-07,5.61,5.514277756374137,3.9947250059206976,7.033830506827577
2012-05-08,5.56,5.608756062949168,4.089204189083739,7.128307936814597
2012-05-09,5.52,5.562915173810077,4.043373389585948,7.082456958034205
2012-05-10,5.48,5.518381791210059,3.9988467784696864,7.037916803950432
2012-05-11,5.4,5.47648313984155,3.95694991447787,6.99601636520523
2012-05-14,5.36,5.3996372641041015,3.880113265825896,6.919161262382307
2012-05-15,5.26,5.361830480533411,3.8423067578139127,6.881354203252909
2012-05-16,5.24,5.254365012118753,3.734846944624837,6.773883079612669
2012-05-17,5.29,5.24122386902986,3.7217090178029983,6.760738720256722
2012-05-18,5.15,5.296384577571522,3.7768709092985797,6.815898245844464
2012-05-21,5.37,5.138003451402735,3.6184945644035587,6.6575123384019115
2012-05-22,5.29,5.383261113251822,3.8637522979072565,6.902769928596388
2012-05-23,5.19,5.286668504354866,3.767162834623421,6.806174174086311
2012-05-24,5.16,5.1770960312085625,3.6575918709981714,6.696600191418954
2012-05-25,5.27,5.169139210796276,3.6496358112734377,6.688642610319114
2012-05-28,5.27,5.281357427663426,3.76185649045335,6.800858364873503
2012-05-29,5.26,5.254523298019012,3.735022373234024,6.774024222804
2012-05-30,5.27,5.258733379765663,3.7392341919546723,6.778232567576653
2012-05-31,5.25,5.284892854748317,3.7653943659418676,6.804391343554766
2012-06-01,5.24,5.241665521791622,3.722167510727525,6.7611635328557185
2012-06-04,5.21,5.231297716869836,3.7118009658409257,6.750794467898746
2012-06-05,5.21,5.2207275255231,3.7012307749167714,6.740224276129428
2012-06-06,5.24,5.211853012732342,3.6923572145861834,6.731348810878501
