ds,y,yhat,yhat_lower,yhat_upper
2012-02-07,0.8,0.0,-2771.807648699356,2771.807648699356
2012-02-08,0.84,0.5304367352039259,-2170.58969408788,2171.6505675582885
2012-02-09,0.86,0.5009814916522016,-2318.49548764709,2319.4974506303943
2012-02-10,0.82,0.8068942009109776,-0.04071326496654071,1.654501666788496
2012-02-13,0.78,0.8344558935753561,0.13109171805694386,1.5378200690937684
2012-02-14,0.8,0.8255491733489922,0.12850589462031903,1.5225924520776655
2012-02-15,0.79,0.7805269905914007,0.14130643212262206,1.4197475490601794
2012-02-16,0.78,0.7673687511453976,0.13634283869179586,1.3983946635989994
2012-02-17,0.79,0.810563265109505,0.1912764771421015,1.4298500530769087
2012-02-20,0.83,0.7897234208408873,0.18766221299191865,1.391784628689856
2012-02-21,0.81,0.8023398380780095,0.20027907610383355,1.4044006000521854
2012-02-22,0.85,0.8207700729212173,0.2294518351034618,1.4120883107389728
2012-02-23,0.89,0.8676028731224957,0.2804736467634973,1.454732099481494
2012-02-24,0.93,0.8616999814803541,0.27651818658014826,1.44688177638056
2012-02-27,0.98,0.925941451058508,0.34755733147116175,1.5043255706458543
2012-02-28,0.93,0.9993154574969553,0.42117453321158427,1.5774563817823264
2012-02-29,0.96,0.9165881643627591,0.34215813887512325,1.491018189850395
2012-03-01,0.96,0.9575045474050394,0.38589089120100095,1.529118203609078
2012-03-02,0.99,0.9700367494764963,0.39877815259958205,1.5412953463534107
2012-03-05,1.03,0.9850211655640233,0.41727617284357676,1.5527661582844698
2012-03-06,1.0,1.0206082565207377,0.45335124462348564,1.58786526841799
2012-03-07,1.01,1.0075635800835427,0.4417987370500387,1.5733284231170468
2012-03-08,0.96,1.0160241303651172,0.45231635662533254,1.5797319041049018
2012-03-09,0.96,0.9490542685839156,0.38537177209239293,1.5127367650754384
2012-03-12,0.92,0.9656507937111666,0.40395934223188135,1.527342245190452
2012-03-13,0.92,0.9266249448170845,0.3655576778719867,1.4876922117621822
2012-03-14,0.92,0.913296281837009,0.35282196241369046,1.4737706012603273
2012-03-15,0.97,0.9183595456582443,0.3594212204967421,1.4772978708197466
2012-03-16,0.92,0.9768767031320452,0.41795148139119764,1.5358019248728927
2012-03-19,0.93,0.91423157085113,0.3564555772208984,1.4720075644813617
2012-03-20,0.95,0.9305586132571203,0.37345828673728443,1.4876589397769562
2012-03-21,0.97,0.9542802015094924,0.39738130684576467,1.5111790961732203
2012-03-22,0.96,0.9653834416691754,0.409624432201671,1.5211424511366798
2012-03-23,0.96,0.9580114524875964,0.40233969661906344,1.5136832083561296
2012-03-26,0.96,0.9661850609372945,0.41115813281043667,1.5212119890641524
2012-03-27,0.95,0.9577129755819863,0.4033522712096612,1.5120736799543115
2012-03-28,0.95,0.9457432175994249,0.3914255119758674,1.5000609232229825
2012-03-29,0.95,0.9554904489156473,0.40199873219226656,1.5089821656390279
2012-03-30,0.96,0.9503207254874877,0.3970017024686957,1.5036397485062798
2012-04-02,0.96,0.9545716776736913,0.4015887437134862,1.5075546116338965
2012-04-03,0.97,0.96291572702739,0.41054736402011305,1.5152840900346671
2012-04-04,0.96,0.9731801421793286,0.42081223221969766,1.5255480521389595
2012-04-05,0.98,0.9546820514245524,0.40288986359375245,1.5064742392553523
2012-04-06,0.97,0.9809999244706663,0.4294495404844664,1.5325503084568664
2012-04-09,0.97,0.973611485863223,0.4222133378515214,1.5250096338749246
2012-04-10,0.98,0.9669850194317807,0.41612279448574385,1.5178472443778177
2012-04-11,1.03,0.9786134796200584,0.4277662945024857,1.529460664737631
2012-04-12,1.08,1.0335460188035344,0.48307841581057875,1.58401362179649
2012-04-13,1.07,1.0773015766172884,0.5271190516798231,1.6274841015547539
2012-04-16,1.12,1.066708644010634,0.5165781068499381,1.6168391811713296
2012-04-17,1.11,1.125289994252048,0.575602435846236,1.67497755265786
2012-04-18,1.07,1.1078927129057117,0.5582591217191218,1.6575263040923014
2012-04-19,1.04,1.066539636506221,0.5171373296506725,1.6159419433617694
2012-04-20,1.04,1.0454896245418903,0.4963885956885521,1.5945906533952285
2012-04-23,1.04,1.0405109596307809,0.4914179810544117,1.58960393820715
2012-04-24,1.06,1.0343754982111668,0.4856287800237836,1.58312221639855
2012-04-25,1.1,1.0634210337817243,0.5147722461157567,1.6120698214476918
2012-04-26,1.07,1.1027088198457606,0.5541853263147554,1.651232313376766
2012-04-27,1.08,1.0636088907207293,0.5153787960309218,1.6118389854105368
2012-04-30,1.08,1.082596875567934,0.5343674966242526,1.6308262545116154
2012-05-01,1.08,1.0841394582987445,0.536164225461978,1.632114691135511
2012-05-02,1.05,1.0746819020509881,0.5268423358151103,1.622521468286866
2012-05-03,1.05,1.0494539123000663,0.501670185206005,1.5972376393941277
2012-05-04,1.08,1.0562518124090647,0.5087347193894884,1.603768905428641
2012-05-07,1.09,1.0764591317124317,0.5289571147734676,1.6239611486513956
2012-05-08,1.12,1.0857107638589305,0.5383815687002055,1.6330399590176556
2012-05-09,1.12,1.1263022944061234,0.5791343417675076,1.6734702470447393
2012-05-10,1.12,1.1191738414466974,0.572022542252701,1.6663251406406938
2012-05-11,1.13,1.1144598521372548,0.5675356779867012,1.6613840262878083
2012-05-14,1.07,1.1346407642713354,0.5877563613670902,1.6815251671755806
2012-05-15,1.04,1.0715954624965953,0.5248173381848311,1.6183735868083595
2012-05-16,1.02,1.0354856258255385,0.48887997607475153,1.5820912755763255
2012-05-17,1.02,1.0220164391044113,0.47541189524856353,1.568620982960259
2012-05-18,1.0,1.0234153930142948,0.47699193240134996,1.5698388536272398
2012-05-21,1.03,0.9955648486249551,0.4492077796924818,1.5419219175574284
2012-05-22,1.03,1.030321098790873,0.48402044593809024,1.576621751643656
2012-05-23,1.02,1.0335019139632995,0.4873710951657314,1.5796327327608677
2012-05-24,1.0,1.017223230581102,0.4710949317452966,1.5633515294169074
2012-05-25,1.04,0.9985223646653039,0.45252821338964144,1.5445165159409662
2012-05-28,1.03,1.04440543190349,0.49850041032013515,1.5903104534868446
2012-05-29,1.02,1.02762352237105,0.48174176811437586,1.573505276627724
2012-05-30,1.0,1.0174333227252277,0.47170714702440275,1.5631594984260526
2012-05-31,1.0,1.0040749477008206,0.4583633343743204,1.5497865610273207
2012-06-01,1.0,1.0000648386424844,0.4544441598347315,1.5456855174502373
2012-06-04,0.96,0.9959890171431859,0.4504728267287561,1.5415052075576157
2012-06-05,0.96,0.962335142894945,0.41682428652154035,1.5078459992683497
2012-06-06,0.98,0.9629756093156253,0.41759776428813866,1.508353454343112
2012-06-07,1.0,0.9758697805872273,0.4305235514926711,1.5212160096817835
2012-06-08,1.0,0.9997708747915206,0.45447941461609265,1.5450623349669486
2012-06-11,1.0,1.0038635197571066,0.45868302319759513,1.5490440163166181
2012-06-12,1.0,0.9975852031835729,0.45240470710544367,1.542765699261702
2012-06-13,0.99,0.9978806804226363,0.4528060295202678,1.5429553313250048
2012-06-14,0.98,0.9937109676614652,0.44868539534217466,1.5387365399807558
2012-06-15,1.03,0.9795924235434531,0.43459443620569327,1.524590410881213
2012-06-18,1.04,1.0272682339353831,0.4823789194772551,1.5721575483935113
2012-06-19,1.01,1.0416228547418764,0.4967375251963073,1.5865081842874456
2012-06-20,1.01,1.011137100113824,0.46632944675907184,1.5559447534685762
2012-06-21,1.01,1.0080671057588848,0.46332300564695894,1.5528112058708108
2012-06-22,1.01,1.010210268412671,0.46547614895667244,1.5549443878686695
2012-06-25,1.01,1.011744541980487,0.467109361470052,1.556379722490922
2012-06-26,1.0,1.0086020055835265,0.46398060937099916,1.5532234017960538
2012-06-27,1.02,0.9991546312848133,0.4545848172773701,1.5437244452922565
2012-06-28,1.0,1.0222742447929314,0.4777773437792573,1.5667711458066056
2012-06-29,1.0,0.9988125456580983,0.45431704251456395,1.5433080488016326
2012-07-02,1.0,0.9988461615149775,0.4544345121200488,1.5432578109099062
2012-07-03,0.98,1.0019502052842695,0.4575646271054383,1.5463357834631006
2012-07-04,0.98,0.979597124571626,0.43524140243495757,1.5239528467082943
2012-07-05,0.97,0.9786178817179554,0.43433840362466514,1.5228973598112456
2012-07-06,0.97,0.9712386010604259,0.4269595160887987,1.5155176860320532
2012-07-09,0.96,0.9706265121452566,0.42641328339153284,1.5148397408989804
2012-07-10,0.94,0.9582567504990769,0.41408153189568153,1.5024319691024721
2012-07-11,0.94,0.9404946746830618,0.39633333152486594,1.4846560178412576
2012-07-12,0.95,0.9416029673730771,0.3975153077631651,1.485690626982989
2012-07-13,0.97,0.9485224404384743,0.40443973885694207,1.4926051420200066
2012-07-16,0.96,0.9695329888663601,0.4254976447272849,1.5135683330054353
2012-07-17,0.96,0.9614335874846001,0.41744571508032535,1.5054214598888747
2012-07-18,0.96,0.9595887643090353,0.4156049917586021,1.5035725368594686
2012-07-19,0.97,0.958877072152828,0.4149594796899412,1.5027946646157149
2012-07-20,0.96,0.9712774344872284,0.4273726910836272,1.5151821778908294
2012-07-23,0.97,0.9600126580374279,0.4161383555565805,1.5038869605182752
2012-07-24,0.96,0.968953923814182,0.4251327578414036,1.5127750897869605
2012-07-25,0.96,0.9604905347967565,0.41666954263895273,1.5043115269545604
