,count,mean,std,min,q25,q50,q75,max,skew,kurtosis_excess
FPT_close,3473.0,32.57100777425857,33.796049430461814,3.54,8.25,15.48,49.23,131.67,1.309721516011923,0.5348993951262471
VCB_close,3473.0,30.23791534696228,19.44512734466414,4.97,12.55,28.03,45.27,68.6,0.2855046719337007,-1.3470904812009794
VIC_close,3473.0,29.03757846242442,20.88629594713671,7.39,11.45,22.55,44.58,169.9,2.0001286769937874,7.8933203700937415
VNM_close,3473.0,56.334773970630586,20.182903195717643,12.72,35.95,60.32,70.28,102.22,-0.4463532894899249,-0.5483942846887326
HPG_close,3473.0,11.175608983587678,8.81661575682607,0.78,3.19,8.25,19.71,32.65,0.5963517502712292,-0.9971237043886974
VNINDEX_close,3473.0,912.8546904693349,337.3558581286773,375.26,590.24,943.69,1189.39,1784.49,0.26298236668799246,-0.8955853160562506
VN30_close,3473.0,933.1693118341492,355.672916049875,441.49,619.29,880.79,1211.54,2030.63,0.7068236794585311,-0.23260152983245375
