series,adf_stat,adf_pval,adf_lags,adf_crit_5pct,adf_stationary,kpss_stat,kpss_pval,kpss_lags,kpss_crit_5pct,kpss_stationary,verdict
FPT_close,0.22292780676421106,0.9735186207639546,30,-2.8623800736427762,False,7.253105864739956,0.01,37,0.463,False,non-stationary
VCB_close,-0.6775394163836319,0.8524818775562668,3,-2.862373532387402,False,9.041644479912437,0.01,37,0.463,False,non-stationary
VIC_close,3.956749920969843,1.0,24,-2.8623786111734746,False,3.9799044101545578,0.01,37,0.463,False,non-stationary
VNM_close,-2.1601685716795096,0.221018128152617,4,-2.86237377283903,False,4.621382029184247,0.01,37,0.463,False,non-stationary
HPG_close,-0.9188585098967803,0.7816986199054616,22,-2.862378124814602,False,7.686515655211495,0.01,37,0.463,False,non-stationary
VNINDEX_close,-0.03916016515774608,0.955171245113165,1,-2.8623730518999695,False,8.024687421402646,0.01,37,0.463,False,non-stationary
VN30_close,0.669151847306314,0.9892017020707027,8,-2.862374736034422,False,7.448257406767053,0.01,37,0.463,False,non-stationary
