lag,acf,pacf
0,1.0,1.0
1,0.08372130816227442,0.08372130816227441
2,-0.0013753909367705244,-0.008443833379111094
3,-0.016509465753796724,-0.015798267766213077
4,-0.0019014270928974985,0.0008090367804906719
5,0.015530945192199391,0.015598721824456154
6,0.01897346098444879,0.016207172849556382
7,0.002455105627168032,-0.0004096115766368938
8,0.025540068362856813,0.026200252576028215
9,0.0024189528929566095,-0.0013122017960365614
10,0.0130304942332923,0.013076747370009387
11,0.04708835761624124,0.04561668678345149
12,0.026681334462926115,0.019020106294157145
13,-0.009799712037695321,-0.013712023920289215
14,0.0036922904340638855,0.006580075253343825
15,0.003940882488262911,0.003626562549686367
16,-0.0008276656992470012,-0.004206650251911412
17,0.021023803854866602,0.01957074522630482
18,-0.02305923137203951,-0.027602265134009756
19,-0.019259794787322548,-0.01731739885413891
20,0.020617177369241093,0.022800199734480123
