symbol,n_rows,start_date,end_date,missing_date,pct_missing_date,duplicate_dates,pct_duplicate_dates,ohlc_invalid,pct_ohlc_invalid,volume_eq_0,pct_volume_eq_0,zero_return_rows,pct_zero_return_rows,zero_return_no_volume_rows,pct_zero_return_no_volume_rows,zero_return_with_volume_rows,pct_zero_return_with_volume_rows,missing_log_return_rows,pct_missing_log_return_rows,hose_disruption_rows,pct_hose_disruption_rows
VCB,3476,2012-02-06,2025-12-31,0,0.0,0,0.0,0,0.0,2,0.0005753739930955121,331,0.09522439585730726,2,0.0005753739930955121,329,0.09464902186421174,0,0.0,2,0.0005753739930955121
FPT,3476,2012-02-06,2025-12-31,0,0.0,0,0.0,0,0.0,2,0.0005753739930955121,306,0.08803222094361335,2,0.0005753739930955121,304,0.08745684695051784,0,0.0,2,0.0005753739930955121
VIC,3476,2012-02-06,2025-12-31,0,0.0,0,0.0,0,0.0,2,0.0005753739930955121,551,0.15851553509781358,2,0.0005753739930955121,549,0.15794016110471806,0,0.0,2,0.0005753739930955121
HPG,3476,2012-02-06,2025-12-31,0,0.0,0,0.0,0,0.0,2,0.0005753739930955121,357,0.1027042577675489,2,0.0005753739930955121,355,0.1021288837744534,0,0.0,2,0.0005753739930955121
VNM,3476,2012-02-06,2025-12-31,0,0.0,0,0.0,0,0.0,2,0.0005753739930955121,497,0.14298043728423476,2,0.0005753739930955121,495,0.14240506329113925,0,0.0,2,0.0005753739930955121
VNINDEX,3476,2012-02-06,2025-12-31,0,0.0,0,0.0,16,0.004602991944764097,2,0.0005753739930955121,3,0.0008630609896432681,2,0.0005753739930955121,1,0.00028768699654775604,0,0.0,2,0.0005753739930955121
VN30,3473,2012-02-06,2025-12-31,3,0.0008638065073423554,0,0.0,60,0.017276130146847105,2,0.0005758710048949035,6,0.0017276130146847107,2,0.0005758710048949035,4,0.001151742009789807,1,0.00028793550244745177,2,0.0005758710048949035
