,count,mean,std,mean_annual,std_annual,sharpe_like,min,q01,q05,q25,q50,q75,q95,q99,max,skew,kurtosis_excess
FPT_log_return,3473.0,0.0008848156988730389,0.01621744766248491,0.2229735561160058,0.257444000490845,0.8661050779621295,-0.0725695777583883,-0.04827769455518519,-0.023356873058089297,-0.0070723979003171,0.0,0.0085705015522554,0.028724456807644096,0.047634658682089694,0.0679341101387092,-0.03808926945960256,3.322041363397606
VCB_log_return,3473.0,0.0006634237239145714,0.018046534746388298,0.167182778426472,0.2864798577925772,0.5835760311900148,-0.0726030809743014,-0.05332208720426805,-0.026719563575988318,-0.0083527167757284,0.0,0.0088552128297325,0.031599543622655914,0.05156053147432481,0.06809761627944,-0.051469681433564805,2.5039932807774488
VIC_log_return,3473.0,0.000813085917366373,0.01903714463947555,0.204897651176326,0.3022053023329121,0.6780081275695451,-0.0726722448888126,-0.059968189331557786,-0.02768692400611584,-0.0074746744167057,0.0,0.0076461322813554,0.03398566480815386,0.066416665654949,0.0676586484738148,0.23561721140851175,3.4056940882561166
VNM_log_return,3473.0,0.00044645405568637315,0.014742633637563259,0.11250642203296603,0.23403205365076757,0.48073082416673074,-0.0726666161901903,-0.03990346180019265,-0.02122992755937406,-0.0073640500151199,0.0,0.0074659180398253,0.025442869656394536,0.04440060267474995,0.067818154865169,0.17458808885966023,3.4098079295436765
HPG_log_return,3473.0,0.0010060636933985495,0.021036872566721196,0.2535280507364345,0.333949999044608,0.7591796719920608,-0.073588356657489,-0.06207857718656779,-0.03257681845503204,-0.0098801085997073,0.0,0.0115905998149101,0.03882891854818901,0.06014858874124276,0.0700101655726489,-0.015377558040829133,1.547497302102042
VNINDEX_log_return,3473.0,0.0004233179530021285,0.01156292863084832,0.10667612415653638,0.1835558015088794,0.581164546582724,-0.0691023648310036,-0.03930551485100927,-0.01838712390396708,-0.004380592251322,0.0012415519243216,0.0065675187694624,0.016666251578454385,0.028345580849368782,0.0654690484939983,-0.9080642938210546,4.716948291335955
VN30_log_return,3472.0,0.0004356255392727142,0.01205348088484881,0.10977763589672397,0.19134307712388435,0.5737214930731405,-0.0705222738387014,-0.04149496431553451,-0.0188469275882771,-0.0048889868721954995,0.00116606760148435,0.0068727653164417,0.01745069886640256,0.030326862524294285,0.0667004831621289,-0.7920584212229219,4.464094771440257
