,FPT_log_return,VCB_log_return,VIC_log_return,VNM_log_return,HPG_log_return,VNINDEX_log_return,VN30_log_return
FPT_log_return,1.0,0.4027006618484504,0.24536774734190733,0.38579603522421585,0.4554075829460964,0.6457959697580811,0.6812945036201128
VCB_log_return,0.4027006618484504,1.0,0.2899989680700063,0.34228004739769413,0.4460071798945502,0.6797228807844308,0.6497787979504673
VIC_log_return,0.24536774734190733,0.2899989680700063,1.0,0.2375030204697159,0.26611980450793066,0.5146886094245929,0.5134734611263355
VNM_log_return,0.38579603522421585,0.34228004739769413,0.2375030204697159,1.0,0.30596318420907587,0.5557202465161767,0.5517066384755746
HPG_log_return,0.4554075829460964,0.4460071798945502,0.26611980450793066,0.30596318420907587,1.0,0.6567115998983043,0.6940425999785521
VNINDEX_log_return,0.6457959697580811,0.6797228807844308,0.5146886094245929,0.5557202465161767,0.6567115998983043,1.0,0.9664830227744505
VN30_log_return,0.6812945036201128,0.6497787979504673,0.5134734611263355,0.5517066384755746,0.6940425999785521,0.9664830227744505,1.0
