,FPT_log_return,VCB_log_return,VIC_log_return,VNM_log_return,HPG_log_return,VNINDEX_log_return,VN30_log_return
FPT_log_return,1.0,0.40270506388626326,0.2455035701940036,0.3857988786101225,0.4556410386235693,0.645809437550076,0.6812945036201128
VCB_log_return,0.40270506388626326,1.0,0.29035547650174304,0.3422467290430454,0.44644381113544346,0.6797039924970073,0.6497787979504673
VIC_log_return,0.2455035701940036,0.29035547650174304,1.0,0.2378162567749149,0.26546499875634655,0.5151691662762456,0.5134734611263355
VNM_log_return,0.3857988786101225,0.3422467290430454,0.2378162567749149,1.0,0.30631361160238396,0.5556963771486686,0.5517066384755746
HPG_log_return,0.4556410386235693,0.44644381113544346,0.26546499875634655,0.30631361160238396,1.0,0.657268651913917,0.6940425999785521
VNINDEX_log_return,0.645809437550076,0.6797039924970073,0.5151691662762456,0.5556963771486686,0.657268651913917,1.0,0.9664830227744505
VN30_log_return,0.6812945036201128,0.6497787979504673,0.5134734611263355,0.5517066384755746,0.6940425999785521,0.9664830227744505,1.0
