lag,acf,pacf
0,1.0,1.0
1,0.03755191250333774,0.03755191250333774
2,-0.006522877428781194,-0.007944226081124795
3,-0.023126496440268346,-0.022614598223926294
4,0.010236669676133223,0.011934519848285466
5,-0.0319244389790899,-0.033143865461159834
6,-0.02784843805936453,-0.025836408101129367
7,0.01195255261957171,0.014119638711039753
8,0.024597701455340792,0.021691197284671646
9,-0.00513810785767472,-0.007264352989280343
10,-0.004059972471487223,-0.0030977254766470183
11,0.04687436281587638,0.04635931099093578
12,-0.02241426475915524,-0.026912632132351243
13,0.045624718561946324,0.050523119562169455
14,0.02609141418639338,0.025327203452526863
15,0.0011287173283013262,-0.00378008458064794
16,0.006297684977841885,0.012097186468307448
17,0.006072785225178732,0.006967640763594931
18,-0.01604900755849931,-0.0167060336649355
19,-0.004503142787223309,-0.00021473598416806413
20,0.006719101293368853,0.008911206774537146
