stock_code,n,pct_missing,mean,std,std_annual,sharpe_like,skew,kurt_excess,q01,q05,q95,q99,max_drawdown,pct_zero,pct_limit_up,pct_limit_down,pct_zero_no_volume,n_zero,n_zero_no_volume,n_zero_with_volume,pct_zero_with_volume,jb_pval,t_df,adf_pval,kpss_c_pval,lb_10_pval,lb_abs_10_pval,arch_pval
FPT,3473,0.0,0.0008848156988730389,0.01621744766248491,0.257444000490845,0.8661050779621295,-0.03808926945960256,3.3285585987520383,-0.04827769455518519,-0.023356873058089297,0.028724456807644096,0.047634658682089694,-0.36898395721925137,8.810826374892024,0.028793550244745177,0.3167290526921969,0.05758710048949035,306,2,304,8.753239274402533,0.0,2.8414424726524627,0.0,0.1,0.4335401037062271,1.6628179574701702e-126,1.7595125666650411e-53
VCB,3473,0.0,0.0006634237239145714,0.018046534746388298,0.2864798577925772,0.5835760311900148,-0.051469681433564805,2.509331568738358,-0.05332208720426805,-0.026719563575988318,0.031599543622655914,0.05156053147432481,-0.43200000000000005,9.501871580765908,0.028793550244745177,0.4031097034264325,0.05758710048949035,330,2,328,9.44428448027642,4.4214196978230495e-198,2.862137426608868,0.0,0.1,0.1954714035779951,1.096379757400935e-167,5.09893344084584e-67
VIC,3473,0.0,0.000813085917366373,0.01903714463947555,0.3022053023329121,0.6780081275695451,0.23561721140851175,3.4123318815142056,-0.059968189331557786,-0.02768692400611584,0.03398566480815386,0.066416665654949,-0.68828125,15.836452634609847,0.05758710048949035,0.6622516556291391,0.05758710048949035,550,2,548,15.778865534120357,0.0,1.7839621933197154,0.0,0.05813102322139135,0.0007566739577650304,1.1396167835908492e-244,4.22135719134721e-89
VNM,3473,0.0,0.00044645405568637315,0.014742633637563259,0.23403205365076757,0.48073082416673074,0.17458808885966023,3.416451651551637,-0.03990346180019265,-0.02122992755937406,0.025442869656394536,0.04440060267474995,-0.530718059088241,14.281600921393608,0.028793550244745177,0.2303484019579614,0.05758710048949035,496,2,494,14.224013820904116,0.0,3.1446766009454477,0.0,0.012934864386187236,0.04393780808884604,1.9794068084703424e-127,5.682597175300363e-63
HPG,3473,0.0,0.0010060636933985495,0.021036872566721196,0.333949999044608,0.7591796719920608,-0.015377558040829133,1.551457115539348,-0.06207857718656779,-0.03257681845503204,0.03882891854818901,0.06014858874124276,-0.7243491577335375,10.250503887129284,0.08638065073423554,0.6910452058738843,0.05758710048949035,356,2,354,10.192916786639792,5.249324191767767e-76,3.586122282940266,4.299202691112478e-27,0.1,0.09202697805241149,1.5435796042155882e-142,3.0926924179084473e-63
VNINDEX,3473,0.0,0.0004233179530021285,0.01156292863084832,0.1835558015088794,0.581164546582724,-0.9080642938210546,4.725475826478184,-0.03930551485100927,-0.01838712390396708,0.016666251578454385,0.028345580849368782,-0.4526334144295998,0.08638065073423554,0.0,0.05758710048949035,0.05758710048949035,3,2,1,0.028793550244745177,0.0,2.9706358055390343,0.0,0.1,0.0019028412745849233,5.059008985263313e-208,1.4228986455203628e-84
VN30,3472,0.028793550244745177,0.0004356255392727142,0.01205348088484881,0.19134307712388435,0.5737214930731405,-0.7920584212229219,4.472260254983572,-0.04149496431553451,-0.0188469275882771,0.01745069886640256,0.030326862524294285,-0.48138713402622113,0.1728110599078341,0.0,0.0576036866359447,0.0576036866359447,6,2,4,0.1152073732718894,0.0,3.0613890346671147,0.0,0.1,0.019378551985296415,2.2303987721021884e-185,1.2931305521480255e-78
