series,adf_stat,adf_pval,adf_lags,adf_crit_5pct,adf_stationary,kpss_stat,kpss_pval,kpss_lags,kpss_crit_5pct,kpss_stationary,verdict
FPT_log_return,-58.18396733492047,0.0,0,-2.8623728118639256,True,0.06633525050919149,0.1,11,0.463,True,stationary
VCB_log_return,-58.06171779186754,0.0,0,-2.8623728118639256,True,0.08803196895413337,0.1,0,0.463,True,stationary
VIC_log_return,-54.150902977458564,0.0,0,-2.8623728118639256,True,0.4441360261263721,0.05813102322139135,8,0.463,True,stationary
VNM_log_return,-31.44651780076196,0.0,3,-2.862373532387402,True,0.7067164917519404,0.012934864386187236,4,0.463,False,difference-stationary
HPG_log_return,-14.592022384405526,4.299202691112478e-27,13,-2.8623759431626805,True,0.2231498250669028,0.1,13,0.463,True,stationary
VNINDEX_log_return,-39.17519254650594,0.0,1,-2.8623730518999695,True,0.04153403201370491,0.1,5,0.463,True,stationary
VN30_log_return,-39.56546821327833,0.0,1,-2.862373292074422,True,0.06780843627995937,0.1,2,0.463,True,stationary
