lag,acf,pacf
0,1.0,1.0
1,0.014471341806004547,0.014471341806004552
2,-0.009248606416753935,-0.009460007262621558
3,-0.028479392899688392,-0.028215821535381443
4,0.001373573022725641,0.0021089549734247736
5,-0.011581675425553,-0.012163715995219464
6,0.022565998733450603,0.022163184807703556
7,0.011276387962210614,0.010526780916017057
8,0.016224351514572747,0.01567316167819605
9,-0.03933744510194148,-0.0383716382482725
10,0.01405031326799304,0.015914717422971642
11,-0.0020387411309753982,-0.0018519397976341021
12,-0.016608576638474714,-0.018773704246582895
13,0.015156394087837616,0.016605000735141526
14,-0.013097826387972496,-0.015880442539028098
15,0.008593178544194738,0.010126811049274312
16,-0.002659905854160175,-0.002419285452503182
17,-0.0001600569401664509,-0.00015098082799291327
18,0.0011838436111454049,0.0008932085582878379
19,0.0035970964422674598,0.003974052613221264
20,0.031394026927219876,0.03218669410308799
