source_file,symbol_code,trading_date,open,high,low,close,volume
market_common_clean,VN30,2012-02-21,459.71,475.54,460.72,462.27,25524870
market_common_clean,VN30,2012-02-22,459.71,470.97,460.85,470.97,19632000
market_common_clean,VN30,2012-02-24,471.23,483.72,476.93,477.77,26683350
market_common_clean,VN30,2012-02-27,471.23,487.49,477.77,485.85,23089780
market_common_clean,VN30,2012-02-28,477.77,490.17,479.53,480.89,29995430
market_common_clean,VN30,2012-03-01,479.93,491.01,484.33,491.01,22342000
market_common_clean,VN30,2012-03-05,495.45,527.47,507.83,524.94,29555260
market_common_clean,VN30,2012-03-23,502.02,514.52,507.94,512.84,26117150
market_common_clean,VN30,2012-05-11,554.92,556.7,554.35,547.94,24157180
market_common_clean,VN30,2012-05-15,533.01,535.84,523.01,522.9,30385460
market_common_clean,VN30,2012-06-29,494.07,495.56,492.48,497.73,9128190
market_common_clean,VN30,2012-07-02,496.45,498.47,493.4,492.66,12212060
market_common_clean,VN30,2012-07-03,489.92,491.0,488.77,486.95,14683870
market_common_clean,VN30,2012-07-09,487.62,488.99,487.62,482.49,10271450
market_common_clean,VN30,2012-10-10,459.36,461.62,457.45,461.71,14419490
market_common_clean,VN30,2012-11-09,456.07,456.99,453.2,457.23,11386510
market_common_clean,VN30,2012-12-11,453.05,455.63,452.45,455.9,13625300
market_common_clean,VN30,2012-12-19,463.21,466.95,462.36,467.12,29233490
market_common_clean,VN30,2013-01-02,480.73,492.07,485.45,490.82,22641550
market_common_clean,VN30,2013-02-18,573.38,578.57,573.76,574.43,17174080
market_common_clean,VN30,2013-06-07,585.01,588.01,583.63,588.21,24171080
market_common_clean,VN30,2013-07-09,539.35,539.41,539.25,541.53,9118770
market_common_clean,VN30,2013-07-29,544.88,544.88,540.67,537.42,12137940
market_common_clean,VN30,2013-07-30,537.05,540.96,537.05,541.78,10209820
market_common_clean,VN30,2013-11-08,558.4,559.75,556.86,556.78,17291590
market_common_clean,VN30,2013-11-14,552.49,554.89,552.35,555.73,18924140
market_common_clean,VN30,2013-12-27,562.73,565.34,562.62,562.28,16597760
market_common_clean,VN30,2014-01-06,563.89,566.11,561.12,566.3,18331190
market_common_clean,VN30,2014-03-25,688.44,690.2,684.39,682.75,80417100
market_common_clean,VN30,2014-07-18,635.73,644.56,635.31,645.52,31395760
market_common_clean,VN30,2014-07-25,647.6,650.57,643.68,641.96,29281430
market_common_clean,VN30,2014-09-15,666.15,674.09,668.42,668.42,99517800
market_common_clean,VN30,2014-11-28,615.85,616.95,611.68,611.15,52813770
market_common_clean,VN30,2015-01-09,607.52,619.52,608.26,618.41,54770470
market_common_clean,VN30,2015-06-29,608.75,619.44,608.75,620.22,52259200
market_common_clean,VN30,2015-09-30,580.39,583.9,580.39,580.32,22545860
market_common_clean,VN30,2015-10-06,596.87,599.76,592.44,599.92,70115480
market_common_clean,VN30,2015-10-26,619.09,622.09,615.25,612.21,34430620
market_common_clean,VN30,2015-12-29,582.71,588.44,579.18,589.43,38916640
market_common_clean,VN30,2016-10-24,654.17,654.17,649.33,648.29,35941170
market_common_clean,VN30,2016-10-27,641.42,643.64,640.15,644.18,39581260
market_common_clean,VN30,2016-12-14,607.0,614.18,606.55,615.26,50769240
market_common_clean,VN30,2017-01-11,639.56,642.79,639.52,643.39,43037760
market_common_clean,VN30,2017-02-03,656.27,657.63,651.5,651.18,41521500
market_common_clean,VN30,2017-05-17,692.95,695.23,691.06,696.37,44660030
market_common_clean,VN30,2017-05-31,712.02,719.32,713.43,713.43,55599520
market_common_clean,VN30,2017-06-01,713.63,719.76,716.63,719.76,41832640
market_common_clean,VN30,2017-06-05,719.05,724.29,720.97,721.74,51855440
market_common_clean,VN30,2017-06-06,722.59,732.69,727.88,732.69,69348440
market_common_clean,VN30,2017-06-09,738.47,743.9,739.24,740.2,56507810
market_common_clean,VN30,2017-06-13,737.03,741.39,738.98,741.39,48572530
market_common_clean,VN30,2017-06-14,744.42,748.04,745.53,745.53,67557960
market_common_clean,VN30,2018-10-15,964.55,943.51,927.75,928.55,41833000
market_common_clean,VN30,2019-06-24,854.21,873.33,868.21,868.94,40701190
market_common_clean,VN30,2019-06-25,854.21,870.22,866.3,868.5,38482520
market_common_clean,VN30,2019-06-26,854.21,870.32,866.6,866.81,41570560
market_common_clean,VN30,2019-06-27,854.21,865.88,854.41,854.41,44966190
market_common_clean,VN30,2019-07-01,854.21,876.28,867.86,876.26,49225200
market_common_clean,VN30,2019-07-15,881.1,876.73,870.99,873.71,42053110
market_common_clean,VN30,2020-08-13,788.42,795.69,789.26,795.09,49154760
market_common_clean,VNINDEX,2012-02-10,410.11,409.97,403.65,405.02,45896610
market_common_clean,VNINDEX,2012-03-27,459.3,445.9,445.9,445.9,115772320
market_common_clean,VNINDEX,2012-11-12,385.66,388.94,385.72,388.62,32872920
market_common_clean,VNINDEX,2013-07-09,484.01,484.05,483.39,485.5,26299100
market_common_clean,VNINDEX,2013-07-29,493.81,494.36,489.98,485.69,29602500
market_common_clean,VNINDEX,2013-07-31,488.67,490.86,487.1,491.85,24088410
market_common_clean,VNINDEX,2014-03-25,607.12,609.01,604.38,601.85,245217840
market_common_clean,VNINDEX,2014-12-29,534.56,538.83,533.37,532.68,94978280
market_common_clean,VNINDEX,2015-05-11,554.5,551.67,551.67,551.67,88473680
market_common_clean,VNINDEX,2015-05-12,551.98,544.41,544.41,544.41,72362280
market_common_clean,VNINDEX,2015-05-13,545.5,544.82,538.76,542.82,76185760
market_common_clean,VNINDEX,2016-10-24,683.14,684.51,678.66,678.02,91994310
market_common_clean,VNINDEX,2019-06-24,949.48,967.11,962.63,962.85,113476250
market_common_clean,VNINDEX,2019-06-25,949.48,963.23,960.06,960.13,120760130
market_common_clean,VNINDEX,2019-06-26,949.48,962.7,958.49,959.13,119422620
market_common_clean,VNINDEX,2021-08-23,1329.43,1326.07,1298.86,1298.86,761345100
