lag,acf,pacf
0,1.0,1.0
1,0.012307483276928271,0.012307483276928271
2,-0.01237594089153514,-0.012529312903101579
3,-0.020147095835988626,-0.019844787226034995
4,-0.016541561966286377,-0.01621465140521125
5,-0.005109145833979372,-0.005212519719897297
6,-0.011828178486305782,-0.012521316469951693
7,0.036990127504120646,0.03653832717554599
8,0.010165505497361647,0.008527130386468724
9,-0.01653443988065002,-0.016529081391930305
10,-0.0007959091483043738,0.0008649131512743114
11,0.009880714067564573,0.010934751652856978
12,-0.025921136747083597,-0.02639961399138815
13,0.005726059422956983,0.0071110339956627
14,0.002874377367087909,0.0012590957009871206
15,-0.00013359212524928791,-0.001861927269552962
16,0.013689162933719067,0.014459481356994649
17,-0.007272631851781571,-0.007024495874909707
18,-0.007854047745985705,-0.009025890829326024
19,-0.02892922627688211,-0.026553333939227635
20,-0.0030474929314329483,-0.001995542072692763
