ds,y,yhat,yhat_lower,yhat_upper
2012-02-07,9.76,0.0,-2771.807648699356,2771.807648699356
2012-02-08,9.76,14.664234949199523,-2389.7722686218044,2419.1007385202033
2012-02-09,9.76,9.76000141463844,-1950.2048430173559,1969.724845846633
2012-02-10,9.67,9.760000160966307,-1950.2048490324244,1969.7248493543568
2012-02-13,9.26,9.579553124924507,7.738115090997483,11.420991158851532
2012-02-14,9.59,8.98916027117052,7.337231647264876,10.641088895076166
2012-02-15,9.59,9.591311490128138,8.012905292392148,11.169717687864129
2012-02-16,9.59,9.559183668427497,8.023829785925855,11.09453755092914
2012-02-17,9.51,9.557103727158259,8.04914948852483,11.065057965791688
2012-02-20,9.42,9.46094164806547,7.971970448738684,10.949912847392255
2012-02-21,9.42,9.362692829236794,7.887671234632106,10.837714423841483
2012-02-22,9.59,9.381377304537853,7.917037045977774,10.845717563097933
2012-02-23,9.59,9.597451596998512,8.141552036692142,11.053351157304883
2012-02-24,9.34,9.5764831085353,8.127421327586305,11.025544889484294
2012-02-27,9.17,9.269508774441453,7.826098372645591,10.712919176237316
2012-02-28,9.17,9.098882412835174,7.66022065939052,10.537544166279828
2012-02-29,8.76,9.128258166275808,7.693642217645743,10.562874114905874
2012-03-01,8.34,8.63960492897722,7.208476857304335,10.070733000650106
2012-03-02,8.76,8.191081542294201,6.762991049826507,9.619172034761895
2012-03-05,9.17,8.757750533095363,7.332328935811566,10.183172130379159
2012-03-06,8.92,9.202181723155759,7.779123348656886,10.625240097654633
2012-03-07,8.84,8.846434317655964,7.425482918126166,10.267385717185762
2012-03-08,8.76,8.77997643460405,7.3609150751647565,10.199037794043344
2012-03-09,9.01,8.704167048240521,7.286810455724696,10.121523640756346
2012-03-12,8.84,9.010943138001078,7.5951318249842075,10.426754451017949
2012-03-13,8.42,8.782540443294529,7.36813613496951,10.196944751619547
2012-03-14,8.76,8.306245200130329,6.893127232064937,9.71936316819572
2012-03-15,8.34,8.76334958852603,7.351412038010705,10.175287139041355
2012-03-16,8.17,8.237415989566598,6.8265653682800025,9.648266610853193
2012-03-19,8.17,8.082998264978183,6.673151646122131,9.492844883834236
2012-03-20,8.34,8.1151797617601,6.706263247047219,9.52409627647298
2012-03-21,8.34,8.316378597881782,6.908326052958286,9.724431142805278
2012-03-22,8.34,8.296534723311366,6.889286727115161,9.70378271950757
2012-03-23,8.59,8.295177116939275,6.888680082981003,9.701674150897547
2012-03-26,8.92,8.588865203734777,7.1830706406103,9.994659766859254
2012-03-27,8.51,8.943964419420153,7.538828304892992,10.349100533947315
2012-03-28,8.09,8.423604312353277,7.019086560699247,9.828122064007307
2012-03-29,7.88,7.981362283291138,6.577426289711506,9.38529827687077
2012-03-30,8.01,7.79820385967376,6.3948161087715905,9.201591610575928
2012-04-02,8.01,7.980703478559145,6.57783320636398,9.38357375075431
2012-04-03,8.01,7.967745915671121,6.565364816657082,9.37012701468516
2012-04-04,7.76,7.9656526981114935,6.563734670207133,9.367570726015854
2012-04-05,7.76,7.677913628095761,6.276434549923044,9.079392706268479
2012-04-06,7.84,7.709079156235937,6.30801669181041,9.110141620661464
2012-04-09,7.76,7.807229324811201,6.406562751738534,9.207895897883867
2012-04-10,7.67,7.704797387170324,6.304507445026585,9.105087329314063
2012-04-11,7.88,7.610016615674413,6.210085371789827,9.009947859558999
2012-04-12,7.96,7.866501388147649,6.466912118450352,9.266090657844945
2012-04-13,7.92,7.9359179857613125,6.536655068697729,9.335180902824895
2012-04-16,8.13,7.876865942766567,6.477914764613216,9.275817120919918
2012-04-17,8.26,8.124761935351502,6.726108805481104,9.5234150652219
2012-04-18,8.3,8.251595920311626,6.853227995183539,9.649963845439714
2012-04-19,8.26,8.278945290301529,6.880850505120286,9.677040075482772
2012-04-20,8.22,8.227517594238288,6.829684601370248,9.625350587106327
2012-04-23,8.26,8.186699414875527,6.789117528237188,9.584281301513865
2012-04-24,8.26,8.238982706897435,6.841641851633706,9.636323562161163
2012-04-25,8.26,8.23519432549307,6.838084992352911,9.63230365863323
2012-04-26,8.34,8.234780179275582,6.837893383168424,9.631666975382739
2012-04-27,8.42,8.32764061550245,6.930967857783919,9.72431337322098
2012-04-30,8.42,8.410684975724006,7.01421820981533,9.807151741632683
2012-05-01,8.42,8.40017704060068,7.003908640594282,9.796445440607076
2012-05-02,8.51,8.399607438059448,7.003530170004779,9.795684706114116
2012-05-03,8.51,8.503954774322292,7.10806176992188,9.899847778722703
2012-05-04,8.67,8.493568556781774,7.097853289258716,9.889283824304833
2012-05-07,8.67,8.676327452295768,7.280783714221014,10.071871190370521
2012-05-08,8.67,8.658105174528886,7.262727057420371,10.053483291637402
2012-05-09,8.59,8.655545636749126,7.260327512275467,10.050763761222786
2012-05-10,8.59,8.56469838000068,7.169634882640348,9.959761877361013
2012-05-11,8.51,8.574390600382014,7.179476611404754,9.969304589359274
2012-05-14,8.51,8.484077712495187,7.089308345146504,9.87884707984387
2012-05-15,8.34,8.49336744204551,7.098738027827381,9.887996856263639
2012-05-16,8.3,8.299759696627133,6.9052657725790025,9.694253620675264
2012-05-17,8.3,8.273802466601248,6.879439763495036,9.66816516970746
2012-05-18,8.26,8.281794404172192,6.887558835543584,9.676029972800801
2012-05-21,8.42,8.235919569994504,6.841807221940416,9.630031918048592
2012-05-22,8.59,8.424415742864532,7.030422864543388,9.818408621185677
2012-05-23,8.51,8.601568246997962,7.2076912417754615,9.995445252220463
2012-05-24,8.42,8.486860571194025,7.093095988382459,9.880625154005592
2012-05-25,8.51,8.391210214347934,6.997554741491914,9.784865687203954
2012-05-28,8.59,8.50762223977451,7.1140726954402975,9.90117178410872
2012-05-29,8.67,8.590004460970027,7.196557787999492,9.983451133940562
2012-05-30,8.76,8.670419043993235,7.277072303186968,10.0637657847995
2012-05-31,8.59,8.763475276842868,7.370225641040084,10.156724912645654
2012-06-01,8.59,8.557084627338359,7.163929375864026,9.950239878812692
2012-06-04,8.61,8.576177412994682,7.183113926446881,9.969240899542482
2012-06-05,8.61,8.602678306075148,7.209704061427923,9.995652550722374
2012-06-06,8.83,8.599494706952061,7.2066072729511035,9.99238214095302
2012-06-07,8.93,8.85147275211286,7.458669784943272,10.244275719282449
2012-06-08,8.93,8.940334926706702,7.547614165913727,10.333055687499678
2012-06-11,8.93,8.924787509975648,7.532146774620861,10.317428245330435
2012-06-12,8.88,8.924342996004533,7.531780181041347,10.31690581096772
2012-06-13,8.88,8.867633612906713,7.475146685760334,10.260120540053093
2012-06-14,8.83,8.873559614687684,7.481146612025833,10.265972617349535
2012-06-15,8.77,8.817218494073014,7.42487751875477,10.209559469391259
2012-06-18,8.77,8.754203206328139,7.361932424519227,10.14647398813705
2012-06-19,8.72,8.762249228455332,7.370046866899077,10.154451590011586
2012-06-20,8.72,8.705849589474322,7.313713932908279,10.097985246040366
2012-06-21,8.77,8.71152236683056,7.319451755539573,10.103592978121545
2012-06-22,8.61,8.769753332530444,7.377746160027587,10.1617605050333
2012-06-25,9.04,8.580491123753589,7.188545834581017,9.972436412926161
2012-06-26,9.04,9.09087873744622,7.698993825088577,10.482763649803863
2012-06-27,9.04,9.043277878995294,7.651451883898819,10.43510387409177
2012-06-28,8.99,9.034978009367899,7.643209517058855,10.426746501676943
2012-06-29,8.93,8.980191370846503,7.588479010143013,10.371903731549994
2012-07-02,8.72,8.917383506833355,7.525725948145123,10.309041065521587
2012-07-03,8.61,8.684985293105486,7.293381246816257,10.076589339394713
2012-07-04,8.61,8.584707139885104,7.193155354813083,9.976258924957126
2012-07-05,8.61,8.601078134661305,7.209577396593043,9.992578872729567
2012-07-06,8.56,8.601937297647627,7.210486427941216,9.993388167354038
2012-07-09,8.4,8.544274396832044,7.152872251085714,9.935676542578374
